id,name,country,issue
Employee1,Jean Sims,Zambia,[issue13,issue12,issue14,issue10,issue4,issue15]
Employee2,Bonnie Jacobs,Honduras,[issue2,issue8,issue18,issue21,issue24]
Employee3,Jennifer Vasquez,Malaysia,[issue22,issue20,issue26,issue29,issue25]
Employee4,Adam Ramos,Indonesia,[issue28,issue19,issue30,issue35,issue16,issue36]
Employee5,Linda Bell,China,[issue37,issue11,issue32,issue17,issue27,issue43]
Employee6,Wayne Dixon,Russia,[issue33,issue39,issue41,issue42,issue47,issue45]
Employee7,Brenda Hunt,Indonesia,[issue23,issue38,issue46,issue51,issue6]
Employee8,Janice Perez,Nigeria,[issue31,issue52,issue34,issue57,issue54]
Employee9,Joe Richardson,Canada,[issue58,issue59,issue40,issue63,issue53,issue56]
Employee10,Helen Grant,Thailand,[issue50,issue64,issue55,issue44,issue62]
Employee11,Bruce Fowler,Vietnam,[issue49,issue60,issue66,issue48,issue73]
Employee12,Maria Hunter,Bulgaria,[issue76,issue70,issue65,issue78,issue61,issue68]
Employee13,Elizabeth Frazier,Portugal,[issue67,issue81,issue82,issue75,issue72]
Employee14,Catherine Lynch,Ireland,[issue69,issue83,issue85,issue87,issue88,issue80]
Employee15,Doris Brown,Poland,[issue84,issue71,issue89,issue86,issue94]
Employee16,Cheryl Richards,Philippines,[issue77,issue91,issue97,issue99,issue95]
Employee17,Beverly Bailey,China,[issue100,issue92,issue98,issue105,issue107,issue93]
Employee18,Andrew Tucker,China,[issue74,issue108,issue79,issue106,issue110]
Employee19,Denise Olson,Mongolia,[issue90,issue109,issue113,issue103,issue102]
Employee20,Shirley Stone,Philippines,[issue112,issue115,issue111,issue122,issue114,issue123]
Employee21,Martin Miller,Ukraine,[issue124,issue104,issue120,issue121,issue126,issue130]
Employee22,Antonio Wells,Afghanistan,[issue129,issue118,issue128,issue117,issue125,issue135]
Employee23,Alan Hunt,Canada,[issue116,issue137,issue96,issue101,issue132]
Employee24,Marilyn Payne,China,[issue134,issue142,issue119,issue140,issue145]
Employee25,Shawn Henderson,China,[issue138,issue131,issue144,issue148,issue146]
Employee26,Jason Hart,Russia,[issue151,issue133,issue143,issue153,issue147,issue139]
Employee27,Robin Perkins,Sweden,[issue136,issue152,issue156,issue158,issue141]
Employee28,Benjamin Elliott,Kazakhstan,[issue159,issue160,issue164,issue157,issue163,issue162]
Employee29,Brandon Rice,United States,[issue166,issue168,issue165,issue149,issue173,issue169]
Employee30,Carlos Freeman,Nigeria,[issue154,issue174,issue176,issue177,issue127]
Employee31,Kevin Gonzalez,Bhutan,[issue175,issue167,issue155,issue182,issue178]
Employee32,Arthur Johnson,Lesotho,[issue179,issue172,issue171,issue183,issue188]
Employee33,Kimberly Hunter,Poland,[issue184,issue180,issue161,issue170,issue190,issue195]
Employee34,Jeffrey Hudson,Russia,[issue186,issue150,issue181,issue197,issue189]
Employee35,Debra Evans,Poland,[issue196,issue198,issue191,issue193,issue194]
Employee36,Jerry Torres,Philippines,[issue185,issue205,issue192,issue200,issue207]
Employee37,Catherine Bishop,Sweden,[issue187,issue206,issue209,issue203,issue210]
Employee38,Harry Mccoy,Portugal,[issue215,issue213,issue212,issue219,issue214,issue199]
Employee39,Katherine Brown,Indonesia,[issue202,issue217,issue208,issue224,issue201]
Employee40,Annie James,Netherlands,[issue225,issue218,issue228,issue227,issue226]
Employee41,Eugene Ryan,Indonesia,[issue230,issue223,issue211,issue221,issue222,issue237]
Employee42,Paul Meyer,Malaysia,[issue204,issue232,issue238,issue216,issue229]
Employee43,Jane Peterson,China,[issue236,issue244,issue242,issue235,issue247,issue220]
